timestamp,dateTimeISO,tempC,tempF,feelslikeF,dewpointF,humidity,pressureMB,pressureIN,windDir,windDirDEG,windSpeedMPH,windGustMPH,precipMM,precipIN,precipRateMM,precipRateIN,pop,visibilityKM,visibilityMI,sky,weather,weatherPrimary,spressureMB,spressureIN,WS
1689256800,2023-07-13T10:00:00-04:00,32.23,90.01,103.15,77.0,66,1016,30.0,ESE,117,4.47,6.71,0.0,0.0,0.0,0.0,0,16.0,9.942,59,Partly Cloudy,Partly Cloudy,1015.8,30.0,KHST
1689260400,2023-07-13T11:00:00-04:00,33.1,91.58,104.42,76.35,61,1016,30.0,ESE,117,5.44,7.83,0.0,0.0,0.0,0.0,0,16.0,9.942,58,Partly Cloudy,Partly Cloudy,1015.8,30.0,KHST
1689264000,2023-07-13T12:00:00-04:00,33.3,91.94,104.74,76.23,60,1016,30.0,ESE,107,5.97,8.95,0.17,0.01,0.17,0.01,32,16.0,9.942,64,Chance of Storms,Chance of Storms,1015.8,30.0,KHST
1689267600,2023-07-13T13:00:00-04:00,32.87,91.17,103.69,76.23,62,1016,30.0,ESE,111,7.4,10.65,0.17,0.01,0.17,0.01,35,15.152,9.415,65,Chance of Storms,Chance of Storms,1015.8,30.0,KHST
1689271200,2023-07-13T14:00:00-04:00,32.87,91.17,103.69,76.23,62,1015,29.97,SE,127,8.95,12.46,0.17,0.01,0.17,0.01,43,16.0,9.942,69,Chance of Storms,Chance of Storms,1014.8,29.97,KHST
1689274800,2023-07-13T15:00:00-04:00,33.1,91.58,103.53,75.69,60,1015,29.97,ESE,120,8.52,12.28,0.61,0.02,0.61,0.02,55,16.0,9.942,64,Chance of Storms,Chance of Storms,1014.8,29.97,KHST
1689278400,2023-07-13T16:00:00-04:00,32.53,90.55,102.15,75.69,62,1015,29.97,SE,131,7.83,12.3,0.61,0.02,0.61,0.02,57,16.0,9.942,76,Chance of Storms,Chance of Storms,1014.8,29.97,KHST
1689282000,2023-07-13T17:00:00-04:00,32.7,90.86,101.95,75.2,60,1014,29.94,SE,137,7.83,11.18,0.61,0.02,0.61,0.02,59,16.0,9.942,71,Chance of Storms,Chance of Storms,1013.8,29.94,KHST
1689285600,2023-07-13T18:00:00-04:00,31.34,88.41,97.95,74.61,64,1014,29.94,ESE,107,6.71,10.38,0.61,0.02,0.61,0.02,53,11.343,7.048,75,Chance of Storms,Chance of Storms,1013.8,29.94,KHST
1689289200,2023-07-13T19:00:00-04:00,30.77,87.39,96.55,74.61,66,1014,29.94,ESE,115,6.33,8.95,0.61,0.02,0.61,0.02,51,12.733,7.912,79,Chance of Storms,Chance of Storms,1013.8,29.94,KHST
1689292800,2023-07-13T20:00:00-04:00,30.4,86.72,97.16,76.03,71,1015,29.97,ESE,109,5.59,8.14,0.61,0.02,0.61,0.02,46,14.593,9.068,83,Chance of Storms,Chance of Storms,1014.8,29.97,KHST
1689296400,2023-07-13T21:00:00-04:00,28.89,84.0,92.58,75.69,76,1016,30.0,E,100,4.47,6.71,0.03,0.0,0.03,0.0,27,13.001,8.078,81,Isolated Storms,Isolated Storms,1015.8,30.0,KHST
1689300000,2023-07-13T22:00:00-04:00,28.17,82.71,90.38,75.69,79,1015,29.97,NNE,24,4.47,6.71,0.03,0.0,0.03,0.0,22,16.0,9.942,75,Isolated Storms,Isolated Storms,1014.8,29.97,KHST
1689303600,2023-07-13T23:00:00-04:00,27.63,81.73,88.38,75.33,81,1016,30.0,NE,46,4.47,6.71,0.03,0.0,0.03,0.0,21,16.0,9.942,68,Isolated Storms,Isolated Storms,1015.8,30.0,KHST
1689307200,2023-07-14T00:00:00-04:00,27.2,80.96,86.93,75.33,83,1016,30.0,ENE,65,4.63,7.02,0.03,0.0,0.03,0.0,25,16.0,9.942,56,Isolated Storms,Isolated Storms,1015.8,30.0,KHST
