date,hour,temperature (C),condition,rain (%),wind speed,wind direction,feels like (C),humidity (%),uv index,cloud cover,rain amount,time_scraped_est_edt,WS
13-07-2023,10:00,31,31,7,9,SE,38,71,5 of 11,47,0,13-07-2023 10:01,KHST
13-07-2023,11:00,32,32,12,10,SE,39,68,8 of 11,47,0,13-07-2023 10:01,KHST
13-07-2023,12:00,32,32,14,11,ESE,39,65,10 of 11,52,0,13-07-2023 10:01,KHST
13-07-2023,13:00,32,32,16,13,ESE,40,65,10 of 11,67,0,13-07-2023 10:01,KHST
13-07-2023,14:00,32,32,51,15,ESE,39,65,10 of 11,70,0,13-07-2023 10:01,KHST
13-07-2023,15:00,32,32,73,14,ESE,39,66,7 of 11,75,1.98,13-07-2023 10:01,KHST
13-07-2023,16:00,31,31,75,13,SE,38,68,5 of 11,78,5.21,13-07-2023 10:01,KHST
13-07-2023,17:00,31,31,35,14,SE,37,69,3 of 11,80,0.24,13-07-2023 10:01,KHST
13-07-2023,18:00,31,31,36,14,SE,37,70,1 of 11,86,0.62,13-07-2023 10:01,KHST
13-07-2023,19:00,30,30,45,12,E,35,72,0 of 11,84,0.33,13-07-2023 10:01,KHST
13-07-2023,20:00,29,29,43,9,ESE,33,75,0 of 11,80,0.36,13-07-2023 10:01,KHST
13-07-2023,21:00,28,28,23,8,SSE,32,79,0 of 11,74,0,13-07-2023 10:01,KHST
13-07-2023,22:00,28,28,24,7,S,32,79,0 of 11,65,0,13-07-2023 10:01,KHST
13-07-2023,23:00,28,28,19,6,E,32,78,0 of 11,61,0,13-07-2023 10:01,KHST
14-07-2023,00:00,28,28,18,4,ESE,32,80,0 of 11,50,0,13-07-2023 10:01,KHST
14-07-2023,01:00,28,28,16,4,E,32,81,0 of 11,45,0,13-07-2023 10:01,KHST
14-07-2023,02:00,28,28,18,4,E,32,83,0 of 11,40,0,13-07-2023 10:01,KHST
14-07-2023,03:00,28,28,19,4,ESE,32,84,0 of 11,37,0,13-07-2023 10:01,KHST
14-07-2023,04:00,28,28,24,4,ESE,32,83,0 of 11,29,0,13-07-2023 10:01,KHST
14-07-2023,05:00,28,28,24,5,SE,32,82,0 of 11,36,0,13-07-2023 10:01,KHST
14-07-2023,06:00,28,28,35,5,SE,32,81,0 of 11,50,0.2,13-07-2023 10:01,KHST
14-07-2023,07:00,28,28,39,5,ESE,32,81,0 of 11,50,0.31,13-07-2023 10:01,KHST
14-07-2023,08:00,29,29,41,7,SE,34,81,1 of 11,50,0.31,13-07-2023 10:01,KHST
14-07-2023,09:00,30,30,41,11,SSE,35,74,2 of 11,50,0.4,13-07-2023 10:01,KHST
14-07-2023,10:00,31,31,36,12,SSE,36,69,5 of 11,50,0.35,13-07-2023 10:01,KHST
14-07-2023,11:00,31,31,19,12,SSE,37,67,8 of 11,33,0,13-07-2023 10:01,KHST
14-07-2023,12:00,31,31,24,13,SSE,37,66,Extreme,37,0,13-07-2023 10:01,KHST
14-07-2023,13:00,31,31,24,14,SE,37,66,Extreme,44,0,13-07-2023 10:01,KHST
14-07-2023,14:00,31,31,31,15,SE,37,64,Extreme,35,0.19,13-07-2023 10:01,KHST
14-07-2023,15:00,31,31,24,15,ESE,37,66,10 of 11,34,0,13-07-2023 10:01,KHST
14-07-2023,16:00,31,31,23,15,ESE,37,65,7 of 11,34,0,13-07-2023 10:01,KHST
14-07-2023,17:00,31,31,18,14,ESE,37,68,4 of 11,39,0,13-07-2023 10:01,KHST
14-07-2023,18:00,31,31,24,16,ESE,37,68,2 of 11,39,0,13-07-2023 10:01,KHST
14-07-2023,19:00,30,30,24,15,ESE,35,71,0 of 11,28,0,13-07-2023 10:01,KHST
14-07-2023,20:00,29,29,18,13,ESE,34,74,0 of 11,45,0,13-07-2023 10:01,KHST
14-07-2023,21:00,29,29,15,10,ESE,34,75,0 of 11,44,0,13-07-2023 10:01,KHST
14-07-2023,22:00,29,29,18,9,ESE,34,76,0 of 11,40,0,13-07-2023 10:01,KHST
14-07-2023,23:00,29,29,30,10,ESE,34,77,0 of 11,35,0.2,13-07-2023 10:01,KHST
15-07-2023,00:00,29,29,24,8,ESE,34,79,0 of 11,46,0,13-07-2023 10:01,KHST
15-07-2023,01:00,29,29,20,8,ESE,34,79,0 of 11,59,0,13-07-2023 10:01,KHST
15-07-2023,02:00,28,28,16,7,ESE,33,81,0 of 11,50,0,13-07-2023 10:01,KHST
15-07-2023,03:00,28,28,16,6,SE,33,82,0 of 11,34,0,13-07-2023 10:01,KHST
15-07-2023,04:00,28,28,23,5,SE,33,82,0 of 11,40,0,13-07-2023 10:01,KHST
15-07-2023,05:00,28,28,24,5,SE,33,82,0 of 11,44,0,13-07-2023 10:01,KHST
15-07-2023,06:00,28,28,17,6,SE,33,83,0 of 11,32,0,13-07-2023 10:01,KHST
15-07-2023,07:00,28,28,24,5,SE,33,83,0 of 11,38,0,13-07-2023 10:01,KHST
