date,hour,temperature (F),dew point (F),heat index (F),surface wind (mph),wind dir,gust,sky cover (%),precip potential (%),rel humidity (%),rain,thunder,time_scraped_est_edt,WS
13/07/2023,10,91,79,108,5,SE,,37,26,68,Chc,Chc,13-07-2023 10:01,KHST
13/07/2023,11,91,79,108,5,E,,50,31,68,Chc,Chc,13-07-2023 10:01,KHST
13/07/2023,12,92,79,109,7,E,,50,32,66,Chc,Chc,13-07-2023 10:01,KHST
13/07/2023,13,92,79,109,8,SE,,50,32,66,Chc,Chc,13-07-2023 10:01,KHST
13/07/2023,14,92,78,107,9,SE,,58,34,64,Chc,Chc,13-07-2023 10:01,KHST
13/07/2023,15,92,78,107,11,SE,,56,42,64,Chc,Chc,13-07-2023 10:01,KHST
13/07/2023,16,92,78,107,13,SE,,57,48,64,Chc,Chc,13-07-2023 10:01,KHST
13/07/2023,17,93,78,109,14,SE,,63,49,62,Chc,Chc,13-07-2023 10:01,KHST
13/07/2023,18,90,78,105,11,SE,,73,48,68,Chc,Chc,13-07-2023 10:01,KHST
13/07/2023,19,89,77,102,9,SE,,81,47,68,Chc,Chc,13-07-2023 10:01,KHST
13/07/2023,20,87,77,99,6,SE,,83,46,72,Chc,Chc,13-07-2023 10:01,KHST
13/07/2023,21,84,76,93,5,E,,81,27,77,Chc,SChc,13-07-2023 10:01,KHST
13/07/2023,22,83,76,91,5,N,,76,22,80,SChc,SChc,13-07-2023 10:01,KHST
13/07/2023,23,82,76,89,5,NE,,69,21,82,SChc,SChc,13-07-2023 10:01,KHST
14/07/2023,00,81,76,87,5,E,,56,25,85,Chc,SChc,13-07-2023 10:01,KHST
14/07/2023,01,81,76,87,6,E,,49,25,85,Chc,SChc,13-07-2023 10:01,KHST
14/07/2023,02,80,75,85,6,E,,49,24,85,SChc,SChc,13-07-2023 10:01,KHST
14/07/2023,03,80,75,85,6,E,,49,25,85,Chc,SChc,13-07-2023 10:01,KHST
14/07/2023,04,80,75,85,6,E,,46,26,85,Chc,SChc,13-07-2023 10:01,KHST
14/07/2023,05,80,75,85,6,E,,44,27,85,Chc,SChc,13-07-2023 10:01,KHST
14/07/2023,06,78,75,78,6,E,,43,29,91,Chc,SChc,13-07-2023 10:01,KHST
14/07/2023,07,80,76,86,5,SE,,43,29,88,Chc,SChc,13-07-2023 10:01,KHST
14/07/2023,08,82,77,90,5,SE,,45,54,85,Chc,Chc,13-07-2023 10:01,KHST
14/07/2023,09,86,78,98,5,SE,,48,54,77,Chc,Chc,13-07-2023 10:01,KHST
14/07/2023,10,89,77,102,6,SE,,51,54,68,Chc,Chc,13-07-2023 10:01,KHST
14/07/2023,11,91,76,103,7,SE,,54,54,62,Chc,Chc,13-07-2023 10:01,KHST
14/07/2023,12,91,76,103,8,SE,,55,54,62,Chc,Chc,13-07-2023 10:01,KHST
14/07/2023,13,90,76,102,8,SE,,55,54,63,Chc,Chc,13-07-2023 10:01,KHST
14/07/2023,14,90,76,102,8,SE,,54,47,64,Chc,Chc,13-07-2023 10:01,KHST
14/07/2023,15,90,76,102,9,SE,,49,47,64,Chc,Chc,13-07-2023 10:01,KHST
14/07/2023,16,90,76,102,8,SE,,43,47,64,Chc,Chc,13-07-2023 10:01,KHST
14/07/2023,17,88,76,99,8,SE,,36,47,67,Chc,Chc,13-07-2023 10:01,KHST
14/07/2023,18,87,76,97,8,E,,35,47,70,Chc,Chc,13-07-2023 10:01,KHST
14/07/2023,19,86,76,95,8,E,,43,47,73,Chc,Chc,13-07-2023 10:01,KHST
