date,hour,condition,temperature,feels like,precip(%),amount,cloud cover,dew point,humidity,wind,pressure,time_scraped_est_edt,WS
13/07/2023, 10:00 am,Partly Cloudy,90,103,15,0,51,76,63,6,30.00,13-07-2023 10:01,KHST
13/07/2023, 11:00 am,Partly Cloudy,91,104,15,0,50,76,61,7,30.00,13-07-2023 10:01,KHST
13/07/2023, 12:00 pm,Partly Cloudy,92,105,15,0,55,75,59,8,30.00,13-07-2023 10:01,KHST
13/07/2023, 1:00 pm,Scattered Thunderstorms,91,104,46,0,70,76,62,8,29.99,13-07-2023 10:01,KHST
13/07/2023, 2:00 pm,Heavy Thunderstorms,85,95,82,0.55,75,76,75,8,29.98,13-07-2023 10:01,KHST
13/07/2023, 3:00 pm,Heavy Thunderstorms,85,94,88,0.53,77,75,72,7,29.97,13-07-2023 10:01,KHST
13/07/2023, 4:00 pm,Thunderstorms,85,94,72,0.01,79,75,73,7,29.96,13-07-2023 10:01,KHST
13/07/2023, 5:00 pm,Scattered Thunderstorms,88,97,35,0.01,80,74,64,6,29.95,13-07-2023 10:01,KHST
13/07/2023, 6:00 pm,Isolated Thunderstorms,87,97,33,0.02,88,75,66,6,29.94,13-07-2023 10:01,KHST
13/07/2023, 7:00 pm,Scattered Thunderstorms,87,96,36,0.04,81,75,68,4,29.95,13-07-2023 10:01,KHST
13/07/2023, 8:00 pm,Scattered Thunderstorms,83,91,35,0.05,87,74,74,4,29.96,13-07-2023 10:01,KHST
13/07/2023, 9:00 pm,Scattered Thunderstorms,80,85,36,0.01,81,73,81,4,29.98,13-07-2023 10:01,KHST
13/07/2023, 10:00 pm,Isolated Thunderstorms,80,86,30,0.01,76,74,82,3,29.98,13-07-2023 10:01,KHST
13/07/2023, 11:00 pm,Mostly Cloudy,81,87,24,0,63,74,81,3,29.99,13-07-2023 10:01,KHST
14/07/2023, 12:00 am,Mostly Cloudy,80,87,19,0,61,74,80,2,29.98,13-07-2023 10:01,KHST
14/07/2023, 1:00 am,Partly Cloudy,80,87,17,0,57,74,80,2,29.98,13-07-2023 10:01,KHST
14/07/2023, 2:00 am,Partly Cloudy,80,86,24,0,56,74,83,2,29.97,13-07-2023 10:01,KHST
14/07/2023, 3:00 am,Partly Cloudy,80,86,23,0,43,74,83,2,29.96,13-07-2023 10:01,KHST
14/07/2023, 4:00 am,Partly Cloudy,80,86,24,0,42,74,84,2,29.95,13-07-2023 10:01,KHST
14/07/2023, 5:00 am,Partly Cloudy,80,86,24,0,35,74,83,2,29.95,13-07-2023 10:01,KHST
14/07/2023, 6:00 am,Partly Cloudy,80,86,24,0,39,75,85,2,29.96,13-07-2023 10:01,KHST
14/07/2023, 7:00 am,Partly Cloudy,79,85,24,0,34,74,84,1,29.96,13-07-2023 10:01,KHST
14/07/2023, 8:00 am,Scattered Thunderstorms,82,89,54,0.04,50,74,78,2,29.98,13-07-2023 10:01,KHST
14/07/2023, 9:00 am,Thunderstorms,84,93,60,0.09,75,75,74,5,29.99,13-07-2023 10:01,KHST
14/07/2023, 10:00 am,Scattered Thunderstorms,86,96,44,0.02,50,75,69,4,30.00,13-07-2023 10:01,KHST
14/07/2023, 11:00 am,Scattered Thunderstorms,88,98,48,0.03,50,75,66,5,30.00,13-07-2023 10:01,KHST
14/07/2023, 12:00 pm,Scattered Thunderstorms,88,99,48,0.02,50,75,64,6,30.01,13-07-2023 10:01,KHST
14/07/2023, 1:00 pm,Scattered Thunderstorms,88,99,42,0.03,50,76,66,8,30.00,13-07-2023 10:01,KHST
14/07/2023, 2:00 pm,Scattered Thunderstorms,89,100,54,0.03,50,76,65,8,29.98,13-07-2023 10:01,KHST
14/07/2023, 3:00 pm,Scattered Thunderstorms,89,100,40,0.01,50,75,65,6,29.97,13-07-2023 10:01,KHST
14/07/2023, 4:00 pm,Isolated Thunderstorms,89,99,31,0.01,35,75,65,7,29.96,13-07-2023 10:01,KHST
14/07/2023, 5:00 pm,Partly Cloudy,89,99,21,0,45,75,64,7,29.95,13-07-2023 10:01,KHST
14/07/2023, 6:00 pm,Isolated Thunderstorms,88,99,33,0.01,35,75,64,8,29.95,13-07-2023 10:01,KHST
14/07/2023, 7:00 pm,Isolated Thunderstorms,86,95,30,0.02,35,75,69,9,29.96,13-07-2023 10:01,KHST
14/07/2023, 8:00 pm,Partly Cloudy,85,93,15,0,43,75,73,5,29.97,13-07-2023 10:01,KHST
14/07/2023, 9:00 pm,Partly Cloudy,84,92,15,0,37,75,76,5,29.98,13-07-2023 10:01,KHST
14/07/2023, 10:00 pm,Partly Cloudy,83,92,15,0,38,76,79,4,29.99,13-07-2023 10:01,KHST
14/07/2023, 11:00 pm,Partly Cloudy,83,91,24,0,38,76,79,4,30.00,13-07-2023 10:01,KHST
13/07/2023, 10:00 am,Partly Cloudy,91,105,7,0,32,78,66,2,30.00,13-07-2023 10:01,KTMB
13/07/2023, 11:00 am,Partly Cloudy,92,107,12,0,40,77,62,3,30.00,13-07-2023 10:01,KTMB
13/07/2023, 12:00 pm,Partly Cloudy,93,107,16,0,45,76,58,4,30.00,13-07-2023 10:01,KTMB
13/07/2023, 1:00 pm,Mostly Cloudy,93,106,24,0,70,76,59,6,29.99,13-07-2023 10:01,KTMB
13/07/2023, 2:00 pm,Heavy Thunderstorms,92,106,89,0.35,77,76,60,7,29.97,13-07-2023 10:01,KTMB
